epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,303.278,0.56091,0.39224,0.92613,0.98295,1,0.995,0.85695,0.43312,0.30162,0.89191,0.000638047,0.000638047,0.000638047
45,310.037,0.56146,0.37576,0.92216,0.97727,1,0.995,0.85386,0.42218,0.2845,0.88779,0.000627048,0.000627048,0.000627048
46,316.813,0.53971,0.38978,0.91268,0.98461,1,0.995,0.89198,0.47078,0.30687,0.90967,0.000616049,0.000616049,0.000616049
47,324.047,0.54248,0.38697,0.91545,0.98275,1,0.995,0.90398,0.41148,0.27276,0.8831,0.000605051,0.000605051,0.000605051
48,330.833,0.56088,0.38816,0.94437,0.98386,1,0.995,0.89636,0.41888,0.28376,0.88336,0.000594052,0.000594052,0.000594052
49,337.582,0.56119,0.37142,0.91694,0.98251,1,0.995,0.89773,0.44925,0.26812,0.89081,0.000583053,0.000583053,0.000583053
50,344.344,0.56662,0.38504,0.9356,0.98342,1,0.995,0.91014,0.40365,0.26876,0.88291,0.000572054,0.000572054,0.000572054
51,351.158,0.53882,0.36976,0.92711,0.98094,1,0.995,0.84981,0.42618,0.27187,0.89932,0.000561055,0.000561055,0.000561055
52,357.943,0.54981,0.36235,0.92988,0.98475,0.99339,0.995,0.90744,0.42512,0.2798,0.88246,0.000550056,0.000550056,0.000550056
53,364.712,0.54737,0.36019,0.91897,0.982,1,0.995,0.90872,0.37534,0.25913,0.87211,0.000539057,0.000539057,0.000539057
54,371.501,0.53313,0.36154,0.91443,0.98431,1,0.995,0.91082,0.38976,0.26306,0.87118,0.000528058,0.000528058,0.000528058
55,378.324,0.53092,0.35116,0.90685,0.98255,1,0.995,0.85788,0.4272,0.26864,0.88331,0.000517059,0.000517059,0.000517059
56,385.091,0.52644,0.3537,0.91792,0.98223,1,0.995,0.95134,0.40799,0.2611,0.87727,0.00050606,0.00050606,0.00050606
57,391.873,0.52027,0.34411,0.91625,0.98067,1,0.995,0.8639,0.41552,0.26181,0.89275,0.000495062,0.000495062,0.000495062
58,398.632,0.52908,0.36087,0.9049,0.98222,1,0.995,0.90516,0.41096,0.25477,0.87657,0.000484063,0.000484063,0.000484063
59,405.426,0.5466,0.34708,0.91969,0.98122,1,0.995,0.90068,0.39998,0.26536,0.89466,0.000473064,0.000473064,0.000473064
60,412.217,0.5201,0.33895,0.91263,0.98223,1,0.995,0.89806,0.40133,0.23589,0.88932,0.000462065,0.000462065,0.000462065
61,419.035,0.53262,0.34087,0.90397,0.98306,1,0.995,0.90128,0.41897,0.24962,0.89346,0.000451066,0.000451066,0.000451066
62,425.8,0.53053,0.34752,0.91274,0.98254,1,0.995,0.90027,0.44628,0.2654,0.89734,0.000440067,0.000440067,0.000440067
63,432.607,0.52305,0.34483,0.91084,0.99804,1,0.995,0.9122,0.40153,0.24377,0.87971,0.000429068,0.000429068,0.000429068
64,439.436,0.51399,0.33048,0.9204,0.99735,1,0.995,0.9192,0.41031,0.24373,0.88199,0.000418069,0.000418069,0.000418069
65,446.196,0.53869,0.35051,0.91138,0.9823,1,0.995,0.91091,0.38787,0.25885,0.87308,0.00040707,0.00040707,0.00040707
66,452.97,0.51289,0.33897,0.90586,0.98211,1,0.995,0.87294,0.39119,0.23378,0.87563,0.000396071,0.000396071,0.000396071
67,459.772,0.50124,0.32751,0.90086,0.98215,1,0.995,0.92596,0.36616,0.23653,0.87822,0.000385073,0.000385073,0.000385073
68,466.555,0.51229,0.33433,0.91249,0.98386,1,0.995,0.91776,0.37402,0.22653,0.87778,0.000374074,0.000374074,0.000374074
69,473.366,0.50246,0.33007,0.90654,0.98331,1,0.995,0.90781,0.39802,0.25201,0.87479,0.000363075,0.000363075,0.000363075
70,480.128,0.49992,0.3226,0.90994,0.98371,1,0.995,0.91738,0.38325,0.22107,0.87289,0.000352076,0.000352076,0.000352076
71,486.908,0.50785,0.3235,0.8998,0.98472,1,0.995,0.91101,0.40746,0.23632,0.88496,0.000341077,0.000341077,0.000341077
72,493.686,0.51401,0.33393,0.90816,0.99752,1,0.995,0.92291,0.38613,0.23181,0.87458,0.000330078,0.000330078,0.000330078
73,500.442,0.5043,0.30544,0.90536,0.99768,1,0.995,0.92444,0.38976,0.24175,0.87823,0.000319079,0.000319079,0.000319079
74,507.231,0.49216,0.30659,0.9043,0.98351,1,0.995,0.95877,0.41689,0.23937,0.88996,0.00030808,0.00030808,0.00030808
75,514.066,0.50476,0.32176,0.90303,0.99809,1,0.995,0.9096,0.38404,0.23657,0.87562,0.000297081,0.000297081,0.000297081
76,520.826,0.51994,0.32545,0.90483,0.98339,1,0.995,0.91043,0.37823,0.21706,0.87971,0.000286083,0.000286083,0.000286083
77,527.587,0.48478,0.30795,0.89381,0.98458,1,0.995,0.91441,0.38395,0.22631,0.87713,0.000275084,0.000275084,0.000275084
78,534.373,0.47359,0.30354,0.8932,0.98392,1,0.995,0.90583,0.40806,0.24393,0.88016,0.000264085,0.000264085,0.000264085
79,541.202,0.4733,0.29895,0.89395,0.98314,1,0.995,0.9065,0.3937,0.22212,0.88293,0.000253086,0.000253086,0.000253086
80,548.005,0.47733,0.29678,0.88781,0.98408,1,0.995,0.91391,0.3859,0.22609,0.87994,0.000242087,0.000242087,0.000242087
81,554.83,0.50776,0.31675,0.91147,0.98404,1,0.995,0.9036,0.41602,0.22835,0.88185,0.000231088,0.000231088,0.000231088
82,561.609,0.49128,0.30252,0.9081,0.98387,1,0.995,0.91302,0.39088,0.23203,0.87792,0.000220089,0.000220089,0.000220089
83,568.407,0.49208,0.29296,0.90815,0.98297,1,0.995,0.91357,0.39689,0.21989,0.88019,0.00020909,0.00020909,0.00020909
84,575.212,0.48774,0.30164,0.90349,0.98307,1,0.995,0.91695,0.38137,0.22243,0.87436,0.000198091,0.000198091,0.000198091
